"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "Rank" "Rank." "Disturbance" "Time_series." "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time" "Time"
"951" "ETEC4.fwd" "ETEC11.fwd" 0.545396799548111 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "3" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180
"110" "ETEC15.fwd" "ETEC12.fwd" 0.817568306500818 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 0 1 1 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 0
"11710" "ETEC21.fwd" "ETEC12.fwd" 0.940646330474724 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 0 1 1 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "7" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 0
"12210" "ETEC26.fwd" "ETEC12.fwd" 0.867057209169125 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 0 1 1 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "8" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 0
"1251" "ETEC29.fwd" "ETEC12.fwd" 0.862779503077615 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 0 1 1 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "9" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 0
"1311" "ETEC35.fwd" "ETEC12.fwd" 0.707937553150501 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 0 1 1 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "10" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 0
"1561" "ETEC5.fwd" "ETEC12.fwd" 0.927120783986073 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 0 1 1 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "4" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 0
"163" "ETEC16.fwd" "ETEC13.fwd" 0.862917905693238 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 1 1 2 2 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.1" 1
"17010" "ETEC22.fwd" "ETEC13.fwd" 0.880957630342519 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 1 1 2 2 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "7" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.1" 1
"17510" "ETEC27.fwd" "ETEC13.fwd" 0.759221997047862 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 1 1 2 2 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "8" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.1" 1
"1841" "ETEC36.fwd" "ETEC13.fwd" 0.88421842865499 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 1 1 2 2 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "10" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.1" 1
