"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "Rank" "Rank." "Disturbance" "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time" "Time" "nmodel.means" "nmodel.sds" "nmodel.Zscores"
"344" "SRR3681525" "SRR3681517" 0.622925243552265 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.998592417047226 0.00256723856825041 -146.33122848064
"347" "SRR3681530" "SRR3681517" 0.689415280071298 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.997393396998539 0.00275211084976484 -111.90614540601
"348" "SRR3681531" "SRR3681517" 0.589540120112873 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.997816499690772 0.00248125586735817 -164.544247511482
"349" "SRR3681532" "SRR3681517" 0.625144886351143 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.997644542724041 0.00248488596110412 -149.906137425874
"350" "SRR3681533" "SRR3681517" 0.449634084002167 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.998067173345745 0.00249187249945563 -220.088744293052
"351" "SRR3681534" "SRR3681517" 0.36458257841442 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.998611398648704 0.00247743140968786 -255.92184621336
"536" "SRR3681530" "SRR3681525" 0.613444040649313 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.997798959655646 0.00252076812425542 -152.475317070214
"537" "SRR3681531" "SRR3681525" 0.554939925077537 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.997893170651737 0.00264080478912077 -167.734187471569
"538" "SRR3681532" "SRR3681525" 0.626339479113107 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.997950595007277 0.00260972009590293 -142.395008751157
"539" "SRR3681533" "SRR3681525" 0.579173020860902 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.998310050609354 0.00271917863566728 -154.141042537868
"540" "SRR3681534" "SRR3681525" 0.606914129521732 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.998757596828618 0.00236555512987521 -165.645459857686
"1110" "ETEC1.fwd" "ETEC10.fwd" 0.367040530077735 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "Mammal" "3" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180 0.999102044101112 0.00251946908425044 -250.870914818715
"1210" "ETEC20.fwd" "ETEC10.fwd" 0.610928905958476 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "Mammal" "6" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180 0.999357067300564 0.00247704395951288 -156.811169963441
"1717" "ETEC25.fwd" "ETEC10.fwd" 0.628662236715287 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "Mammal" "7" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180 0.998726045291541 0.00237828705503072 -155.600985084399
"2210" "ETEC2.fwd" "ETEC10.fwd" 0.411188938301554 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "Mammal" "3" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180 0.999080988656418 0.00266671337713135 -220.455657288252
"2610" "ETEC34.fwd" "ETEC10.fwd" 0.781715317455129 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "Mammal" "9" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180 0.999050854897259 0.00273619131825241 -79.4299492116441
"3210" "ETEC3.fwd" "ETEC10.fwd" 0.508000871847398 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "Mammal" "3" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180 0.998988666342089 0.00260980971595741 -188.131644806361
"3310" "ETEC40.fwd" "ETEC10.fwd" 0.554287595461715 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "Mammal" "10" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180 0.999234286711417 0.00201907211343977 -220.371867001657
"4310" "ETEC4.fwd" "ETEC10.fwd" 0.504067526801788 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "Mammal" "3" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180 0.999073031241243 0.00250867343800582 -197.317632873309
"631" "ETEC1.fwd" "ETEC11.fwd" 0.448284174273384 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "Mammal" "3" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180 0.999053972832163 0.00232663900766854 -236.723357918206
"6410" "ETEC20.fwd" "ETEC11.fwd" 0.718622004006167 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "Mammal" "6" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180 0.999293307291474 0.00245618205687088 -114.271375975637
"6910" "ETEC25.fwd" "ETEC11.fwd" 0.644607961430263 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "Mammal" "7" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180 0.998567599668053 0.00209266438254328 -169.143050930895
"741" "ETEC2.fwd" "ETEC11.fwd" 0.515675982599392 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "Mammal" "3" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180 0.998939027691837 0.00218327384230284 -221.347883957019
"781" "ETEC34.fwd" "ETEC11.fwd" 0.692786609811654 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "Mammal" "9" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180 0.999209960442266 0.00193027345027083 -158.746083663752
"84" "ETEC3.fwd" "ETEC11.fwd" 0.514371349202739 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "Mammal" "3" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180 0.998985837672261 0.00217728814133973 -222.577103722858
"85" "ETEC40.fwd" "ETEC11.fwd" 0.578934205566616 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "Mammal" "10" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180 0.999096207612269 0.00216771509292492 -193.827133195223
"951" "ETEC4.fwd" "ETEC11.fwd" 0.545396799548111 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "Mammal" "3" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180 0.998964682427701 0.00221347715642727 -204.911933047317
"110" "ETEC15.fwd" "ETEC12.fwd" 0.817568306500818 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 0 1 1 "E.Coli_Azithromycin" "Mammal" "6" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 0 0.999332777555197 0.00174381381871331 -104.23387468537
"11710" "ETEC21.fwd" "ETEC12.fwd" 0.940646330474724 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 0 1 1 "E.Coli_Azithromycin" "Mammal" "7" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 0 0.99977111770711 0.00107797477742848 -54.8480247129985
"12210" "ETEC26.fwd" "ETEC12.fwd" 0.867057209169125 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 0 1 1 "E.Coli_Azithromycin" "Mammal" "8" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 0 0.99897279210046 0.00260272644648324 -50.6836141422303
"1251" "ETEC29.fwd" "ETEC12.fwd" 0.862779503077615 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 0 1 1 "E.Coli_Azithromycin" "Mammal" "9" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 0 0.999465796687765 0.00191562334500364 -71.3534286198048
"1311" "ETEC35.fwd" "ETEC12.fwd" 0.707937553150501 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 0 1 1 "E.Coli_Azithromycin" "Mammal" "10" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 0 0.99914537536355 0.00207369363689007 -140.429529720588
"1561" "ETEC5.fwd" "ETEC12.fwd" 0.927120783986073 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 0 1 1 "E.Coli_Azithromycin" "Mammal" "4" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 0 0.999780136732889 0.00135700391726354 -53.5439521009911
