"Observed" "Shannon" "Simpson" "Hill_Simpson" "Study" "Environment" "Environment_Sub" "Extraction_Kit" "DNA_Fragment" "Time_since_dist" "Disturbance" "Experimental_Unit_ID" "Selective_Factor" "Legacy" "Keep" "StudyxDisturbance" "repID" "Time_series" "Time_series_Time" "sample_sums" "Design" "Rank"
"ETEC1.fwd" 76 2.7618838155973 0.870427555555556 7.71769031824325 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 180 "E.Coli_Azithromycin" "3" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.180.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 141158 "Repeated" 6
"ETEC20.fwd" 49 2.62744291710737 0.884705777777778 8.67346152066982 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 180 "E.Coli_Azithromycin" "6" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.180.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 187510 "Repeated" 6
"ETEC21.fwd" 12 0.897813401369834 0.498503111111111 1.99403031635069 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 0 "E.Coli_Azithromycin" "7" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.0.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 201289 "Repeated" 1
"ETEC22.fwd" 17 0.880050976674391 0.450300444444444 1.81917556580403 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 1 "E.Coli_Azithromycin" "7" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.1.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.1" 207228 "Repeated" 2
"ETEC23.fwd" 57 2.58557216632742 0.839507555555556 6.23082291170508 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 7 "E.Coli_Azithromycin" "7" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.7.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.7" 59704 "Repeated" 3
"ETEC24.fwd" 98 3.09023041598282 0.906511111111111 10.6964582838127 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 30 "E.Coli_Azithromycin" "7" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.30.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.30" 135515 "Repeated" 4
"ETEC25.fwd" 168 3.93232372898889 0.957152 23.3383121732636 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 180 "E.Coli_Azithromycin" "7" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.180.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 118567 "Repeated" 6
"ETEC26.fwd" 66 2.92849013145614 0.917370666666667 12.1022397211644 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 0 "E.Coli_Azithromycin" "8" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.0.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 162536 "Repeated" 1
"ETEC27.fwd" 33 1.47798880961217 0.658647111111111 2.92951966293598 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 1 "E.Coli_Azithromycin" "8" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.1.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.1" 201894 "Repeated" 2
"ETEC28.fwd" 41 2.189880654517 0.803728 5.09497024537377 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 7 "E.Coli_Azithromycin" "8" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.7.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.7" 220235 "Repeated" 3
"ETEC29.fwd" 25 1.21226928932699 0.592641777777778 2.45484182090347 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 0 "E.Coli_Azithromycin" "9" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.0.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 259909 "Repeated" 1
