"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "nmodel.Zscores" "nmodel.sds" "nmodel.means" "Rank" "Rank." "Time" "Disturbance" "Time_series." "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time"
"297" "SRR3681534" "SRR3681515" 0.486454707820777 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -168.701294198752 0.00302975022823463 0.997577492422924 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"317" "SRR3681525" "SRR3681516" 0.636054553133361 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -118.498198389033 0.00305322016888074 0.997855642430787 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"320" "SRR3681530" "SRR3681516" 0.68349915821378 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -108.065983287169 0.0028949931269782 0.996349437090276 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"321" "SRR3681531" "SRR3681516" 0.596079440439803 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -133.711472317982 0.0029966910320897 0.99677141042261 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"322" "SRR3681532" "SRR3681516" 0.633458256363419 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -120.502131843264 0.00301327831491132 0.99656471714731 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"323" "SRR3681533" "SRR3681516" 0.512910304001755 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -162.10941428647 0.0029872120515525 0.997165500028415 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"324" "SRR3681534" "SRR3681516" 0.481764130618477 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -186.039204482365 0.00277425140739888 0.997883655485046 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"344" "SRR3681525" "SRR3681517" 0.632551276898121 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -125.696834513339 0.0029093305674638 0.998244919781218 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"347" "SRR3681530" "SRR3681517" 0.688019892768458 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -113.073182411775 0.00273276589248206 0.997022429017758 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"348" "SRR3681531" "SRR3681517" 0.594452909678103 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -146.16320393992 0.00275615365361964 0.997301158241867 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"349" "SRR3681532" "SRR3681517" 0.628029525175948 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -133.394843340874 0.00276865451711132 0.997353760751015 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"350" "SRR3681533" "SRR3681517" 0.464059997589169 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -169.728792694071 0.00314321020318468 0.997553270559389 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"351" "SRR3681534" "SRR3681517" 0.395143508467942 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -211.879561778235 0.00284630874537272 0.998218158123071 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"536" "SRR3681530" "SRR3681525" 0.611366718442846 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -133.783147082231 0.00288532906654464 0.997375121333023 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"537" "SRR3681531" "SRR3681525" 0.569713524757643 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -140.753794709731 0.00303892991973401 0.997454442817142 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"538" "SRR3681532" "SRR3681525" 0.658940229160693 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -117.914402581367 0.00287060179450432 0.99742552480867 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"539" "SRR3681533" "SRR3681525" 0.594675855832691 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -134.155479041629 0.00300449195911415 0.997744913884372 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"540" "SRR3681534" "SRR3681525" 0.596260481067507 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -129.70386617488 0.00309927441032984 0.99824835442416 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"1110" "ETEC1.fwd" "ETEC10.fwd" 0.38463249760535 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 -236.126807638301 0.00260306414580971 0.999285724433117 6 6 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "3" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180"
"1210" "ETEC20.fwd" "ETEC10.fwd" 0.640320320842946 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 -188.442274696529 0.00190648903632835 0.999583451532653 6 6 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180"
"1717" "ETEC25.fwd" "ETEC10.fwd" 0.679442750274903 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 -125.224085811642 0.00255135259576264 0.998933546662439 6 6 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "7" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180"
"2210" "ETEC2.fwd" "ETEC10.fwd" 0.427218250709626 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 -237.117011970354 0.00241245732757631 0.999252923730506 6 6 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "3" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180"
"2610" "ETEC34.fwd" "ETEC10.fwd" 0.819204547017383 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 -73.7254088597364 0.00244217587932321 0.999254962227873 6 6 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "9" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180"
"3210" "ETEC3.fwd" "ETEC10.fwd" 0.527807977112444 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 -185.704932081034 0.00253853111617275 0.999225725626895 6 6 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "3" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180"
"3310" "ETEC40.fwd" "ETEC10.fwd" 0.555032222708493 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 -108.647144383902 0.00408794266617761 0.999175519793805 6 6 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "10" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180"
"4310" "ETEC4.fwd" "ETEC10.fwd" 0.539777652056972 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 -143.988179957465 0.00318916682197884 0.998979978334439 6 6 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "3" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180"
"631" "ETEC1.fwd" "ETEC11.fwd" 0.451305025308201 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 -209.176294668243 0.00261945668709888 0.999233269159496 6 6 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "3" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180"
"6410" "ETEC20.fwd" "ETEC11.fwd" 0.738975678615207 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 -83.9439491954223 0.00310206167441732 0.999374986213561 6 6 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180"
