"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "nmodel.Zscores" "nmodel.sds" "nmodel.means" "Rank" "Rank." "Time" "Disturbance" "Time_series." "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time"
"237" "SRR3681528" "SRR3681513" 0.771661636718646 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 -77.8295476917269 0.00289464456138787 0.996950513659781 1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
"264" "SRR3681528" "SRR3681514" 0.627127153948144 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 -139.205858553716 0.00267275304646171 0.999190036482905 1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
"291" "SRR3681528" "SRR3681515" 0.798063545832714 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 -69.5277940712527 0.00286694683309855 0.99739603485762 1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
"318" "SRR3681528" "SRR3681516" 0.809700824913192 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 -67.0151253241234 0.00280389314287938 0.997604075278704 1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
"345" "SRR3681528" "SRR3681517" 0.826384191036077 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 -61.2471012075294 0.00280265732200643 0.998038827687028 1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
"372" "SRR3681528" "SRR3681518" 0.83619250415502 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 2 -52.730578013163 0.00306483680804319 0.997803120559155 1 4 2 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
"399" "SRR3681528" "SRR3681519" 0.817677621428837 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 2 -61.0366574391965 0.0029530736448443 0.997923365881918 1 4 2 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
"426" "SRR3681528" "SRR3681520" 0.834364590152374 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 2 -56.9179036642594 0.00286937080148644 0.997683161008418 1 4 2 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
"453" "SRR3681528" "SRR3681521" 0.830455922944397 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 -56.7920488755645 0.00294360599671447 0.99762933858021 1 5 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
"480" "SRR3681528" "SRR3681522" 0.814948811759555 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 -64.1935660272255 0.00284532450921861 0.997600338510963 1 5 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
"507" "SRR3681528" "SRR3681523" 0.814247148678607 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 -62.4068915643264 0.00293950205442475 0.997692334642207 1 5 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
"534" "SRR3681528" "SRR3681525" 0.699687421816352 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 -100.028044287525 0.00298312744296291 0.998083825796376 1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
"365" "ETEC12.fwd" "ETEC10.fwd" 0.638515729122641 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 -114.42122972084 0.00314895693235472 0.998823253660631 1 6 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "5" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0"
"625" "ETEC15.fwd" "ETEC10.fwd" 0.865360743053829 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 -62.4099523189039 0.00215071602254176 0.999586827472163 1 6 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0"
"1310" "ETEC21.fwd" "ETEC10.fwd" 0.870279952957622 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 -84.789661253498 0.00152755271555108 0.999800630256059 1 6 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "7" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0"
"1821" "ETEC26.fwd" "ETEC10.fwd" 0.845555756107049 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 -45.6622642232176 0.00336809761389832 0.999350719282463 1 6 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "8" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0"
"2110" "ETEC29.fwd" "ETEC10.fwd" 0.885404992498681 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 -26.7665409793908 0.00426465808435674 0.999555137876706 1 6 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "9" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0"
"2710" "ETEC35.fwd" "ETEC10.fwd" 0.741328900527316 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 -87.6954619599651 0.00294144861915706 0.999280596015796 1 6 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "10" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0"
"55" "ETEC12.fwd" "ETEC11.fwd" 0.617100021028142 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 -161.260881910798 0.00236917873460133 0.99915587317426 1 6 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "5" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0"
"581" "ETEC15.fwd" "ETEC11.fwd" 0.871788379338348 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 -60.1841546448955 0.00212309692291405 0.999565172873109 1 6 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0"
"6510" "ETEC21.fwd" "ETEC11.fwd" 0.91102249555693 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 -22.0362863803519 0.00402400190408357 0.999696553910397 1 6 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "7" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0"
"7010" "ETEC26.fwd" "ETEC11.fwd" 0.871571305066545 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 -50.9613822186076 0.00250648687610542 0.999305340785677 1 6 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "8" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0"
"731" "ETEC29.fwd" "ETEC11.fwd" 0.936778503845825 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 -17.9553726890687 0.00348881112884843 0.999421407906069 1 6 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "9" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0"
"791" "ETEC35.fwd" "ETEC11.fwd" 0.702566763666205 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 -125.907040187215 0.00235692058616193 0.999319658626169 1 6 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "10" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0"
"111" "ETEC16.fwd" "ETEC12.fwd" 0.934526236840955 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 1 0 -34.4262416212731 0.00189414239838271 0.999734440712776 2 1 1 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.1"
"112" "ETEC17.fwd" "ETEC12.fwd" 0.926389394304717 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 7 0 -25.8193908100942 0.00283193080404019 0.999508122481375 3 1 7 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.7"
"113" "ETEC18.fwd" "ETEC12.fwd" 0.828683227557503 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 30 0 -79.3879680191415 0.00215161850168834 0.99949584835893 4 1 30 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.30"
"1145" "ETEC19.fwd" "ETEC12.fwd" 0.803414403796797 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 90 0 -71.2264208378207 0.00275055901756713 0.999326877921296 5 1 90 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.90"
"1151" "ETEC1.fwd" "ETEC12.fwd" 0.636450916937904 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 0 -125.343149981489 0.00289321153828553 0.999095164709401 6 1 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "3" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180"
"1161" "ETEC20.fwd" "ETEC12.fwd" 0.777933485134158 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 0 -63.1090003032393 0.0035055266987599 0.99916377062921 6 1 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180"
"11810" "ETEC22.fwd" "ETEC12.fwd" 0.940732562087536 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 1 0 -28.3189440971488 0.00208223573740809 0.999699279532281 2 1 1 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "7" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.1"
"1197" "ETEC23.fwd" "ETEC12.fwd" 0.799769037024351 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 7 0 -70.5002737437936 0.00283006373443599 0.999289305014471 3 1 7 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "7" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.7"
"1201" "ETEC24.fwd" "ETEC12.fwd" 0.710535428320663 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 30 0 -99.6503070217969 0.00289466683328743 0.998989866983568 4 1 30 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "7" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.30"
"1211" "ETEC25.fwd" "ETEC12.fwd" 0.705861952581453 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 0 -106.632374281456 0.00274691992563889 0.998772546213368 6 1 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "7" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180"
"12310" "ETEC27.fwd" "ETEC12.fwd" 0.87489416505507 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 1 0 -68.7802293461194 0.00181448624160878 0.9996949448983 2 1 1 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "8" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.1"
"1249" "ETEC28.fwd" "ETEC12.fwd" 0.924988767843131 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 7 0 -36.3917562808533 0.00204805358928677 0.999521034914582 3 1 7 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "8" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.7"
"1261" "ETEC2.fwd" "ETEC12.fwd" 0.680453125783994 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 0 -120.693771747575 0.00264072154432068 0.999171769103138 6 1 180 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "3" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180"
