"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "Rank" "Rank." "Disturbance" "Time_series." "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time" "Time"
"2110" "ETEC29.fwd" "ETEC10.fwd" 0.874685565923285 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "9" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180
"2710" "ETEC35.fwd" "ETEC10.fwd" 0.73139744120271 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "10" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180
"55" "ETEC12.fwd" "ETEC11.fwd" 0.566308350249065 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "5" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180
"581" "ETEC15.fwd" "ETEC11.fwd" 0.855280013521997 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180
"6510" "ETEC21.fwd" "ETEC11.fwd" 0.916822563381029 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "7" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180
"7010" "ETEC26.fwd" "ETEC11.fwd" 0.860616119241348 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "8" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180
"731" "ETEC29.fwd" "ETEC11.fwd" 0.918557494172036 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "9" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180
"791" "ETEC35.fwd" "ETEC11.fwd" 0.655643504984806 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "10" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180
"111" "ETEC16.fwd" "ETEC12.fwd" 0.935263558018254 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 1 0 2 1 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.1" 1
"112" "ETEC17.fwd" "ETEC12.fwd" 0.908007502033058 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 7 0 3 1 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.7" 7
"113" "ETEC18.fwd" "ETEC12.fwd" 0.817182796525353 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 30 0 4 1 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.30" 30
"1145" "ETEC19.fwd" "ETEC12.fwd" 0.780330567991164 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 90 0 5 1 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.90" 90
"1151" "ETEC1.fwd" "ETEC12.fwd" 0.587561469209604 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 0 6 1 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "3" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180
"1161" "ETEC20.fwd" "ETEC12.fwd" 0.735712318189109 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 0 6 1 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180
"11810" "ETEC22.fwd" "ETEC12.fwd" 0.941043522848414 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 1 0 2 1 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "7" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.1" 1
"1197" "ETEC23.fwd" "ETEC12.fwd" 0.794156305620034 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 7 0 3 1 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "7" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.7" 7
