"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "Rank" "Rank." "Disturbance" "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time" "Time" "nmodel.means" "nmodel.sds" "nmodel.Zscores"
"1201" "ETEC24.fwd" "ETEC12.fwd" 0.680589997306554 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 30 0 4 1 "E.Coli_Azithromycin" "Mammal" "7" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.30" 30 0.998824999633589 0.00227585345975329 -139.831060283439
"1211" "ETEC25.fwd" "ETEC12.fwd" 0.675582657155595 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 0 6 1 "E.Coli_Azithromycin" "Mammal" "7" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180 0.998444703781267 0.00246618865521099 -130.915388789691
"12310" "ETEC27.fwd" "ETEC12.fwd" 0.825602741141651 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 1 0 2 1 "E.Coli_Azithromycin" "Mammal" "8" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.1" 1 0.99930398367895 0.00197211554451424 -88.0786336381139
"1249" "ETEC28.fwd" "ETEC12.fwd" 0.921159408616999 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 7 0 3 1 "E.Coli_Azithromycin" "Mammal" "8" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.7" 7 0.999484923486524 0.00206228744506653 -37.9799213038404
"1261" "ETEC2.fwd" "ETEC12.fwd" 0.618760451807804 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 0 6 1 "E.Coli_Azithromycin" "Mammal" "3" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180 0.998944137984254 0.00315667984760596 -120.437834855119
"1271" "ETEC31.fwd" "ETEC12.fwd" 0.930969114836582 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 7 0 3 1 "E.Coli_Azithromycin" "Mammal" "9" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.7" 7 0.999598508826541 0.00185103479358356 -37.0762312128635
"12810" "ETEC32.fwd" "ETEC12.fwd" 0.809701798776433 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 30 0 4 1 "E.Coli_Azithromycin" "Mammal" "9" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.30" 30 0.999393254791786 0.00203154705406817 -93.372907920344
"12910" "ETEC33.fwd" "ETEC12.fwd" 0.762319356469614 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 90 0 5 1 "E.Coli_Azithromycin" "Mammal" "9" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.90" 90 0.9991574074641 0.00214126362531443 -110.60667551372
"1301" "ETEC34.fwd" "ETEC12.fwd" 0.762872603118166 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 0 6 1 "E.Coli_Azithromycin" "Mammal" "9" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180 0.999206555058566 0.00199712534492312 -118.337065092675
"1321" "ETEC36.fwd" "ETEC12.fwd" 0.911299761550425 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 1 0 2 1 "E.Coli_Azithromycin" "Mammal" "10" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.1" 1 0.999528615090673 0.001480147273797 -59.6081586624251
